ID_Produk,ID_Cabang,Jumlah_Stock,Tanggal_Update
330001,A0001,342,27/10/2024
660001,C0001,108,20/03/2024
220001,A0002,421,23/07/2024
330002,A0003,331,20/01/2025
110001,A0004,367,19/01/2025
660002,C0002,260,2/6/2024
660003,A0005,425,24/10/2024
220002,C0003,64,12/11/2024
330003,A0006,191,7/12/2024
440001,B0001,319,25/05/2024
550001,B0002,101,6/3/2024
660004,B0003,386,17/05/2024
660005,A0007,339,30/09/2024
440002,A0008,253,10/11/2024
330004,A0009,398,19/03/2024
110002,B0004,11,10/5/2024
330005,A0010,54,3/8/2024
110003,A0011,389,25/12/2024
440003,A0012,100,10/7/2024
220003,B0005,212,19/11/2024
660006,C0004,341,11/2/2025
330006,B0006,128,30/12/2024
220004,B0007,488,6/1/2025
660007,A0013,313,6/10/2024
110004,A0014,26,22/03/2024
220005,A0015,261,28/01/2025
550002,B0008,359,15/06/2024
550003,A0016,217,29/05/2024
440004,B0009,235,28/12/2024
330007,A0017,250,24/09/2024
550004,B0010,24,19/01/2025
110005,B0011,484,15/04/2024
110006,B0012,242,15/12/2024
330008,A0018,161,6/12/2024
440005,C0005,386,28/05/2024
110007,C0006,104,13/01/2025
110008,A0019,110,21/05/2024
660008,A0020,310,8/4/2024
330009,C0007,44,22/12/2024
220006,B0013,367,13/07/2024
220007,B0014,378,8/11/2024
220008,C0008,411,23/03/2024
110009,B0015,266,30/10/2024
440006,C0009,390,25/11/2024
330010,C0010,340,27/03/2024
660009,B0016,208,10/10/2024
330011,B0017,120,27/08/2024
440007,B0018,365,26/10/2024
660010,B0019,30,26/11/2024
550005,C0011,273,13/10/2024
440008,C0012,235,3/3/2024
440009,A0021,380,29/03/2024
550006,B0020,426,5/8/2024
550007,C0013,263,11/12/2024
220009,B0021,412,8/8/2024
660011,C0014,314,1/7/2024
220010,A0022,280,15/10/2024
330012,A0023,391,14/12/2024
220011,A0024,18,27/02/2024
660012,C0015,51,26/04/2024
110010,C0016,427,9/7/2024
220012,C0017,497,11/5/2024
110011,B0022,247,22/03/2024
110012,A0025,35,17/06/2024
330013,B0023,363,18/11/2024
330014,A0026,72,12/9/2024
330015,C0018,91,21/01/2025
550008,B0024,312,9/9/2024
110013,A0027,156,28/08/2024
330016,A0028,270,20/10/2024
440010,C0019,21,23/07/2024
550009,C0020,223,29/11/2024
440011,B0025,450,24/01/2025
660013,C0021,256,15/04/2024
220013,A0029,316,10/7/2024
660014,C0022,415,4/6/2024
550010,C0023,138,20/04/2024
550011,A0030,229,1/8/2024
440012,C0024,88,26/12/2024
330017,C0025,250,9/7/2024
330018,C0026,40,24/10/2024
440013,B0026,415,25/11/2024
440014,C0027,495,14/05/2024
440015,C0028,459,23/09/2024
110014,C0029,44,25/11/2024
110015,C0030,106,4/5/2024
550012,C0031,419,3/12/2024
440016,A0031,296,14/07/2024
110016,A0032,149,1/4/2024
330019,B0027,71,20/07/2024
220014,C0032,138,28/02/2024
110017,C0033,221,6/3/2024
110018,A0033,209,7/1/2025
330020,B0028,172,11/7/2024
330021,C0034,292,24/12/2024
660015,A0034,313,4/5/2024
330022,B0029,142,5/12/2024
660016,C0035,248,14/06/2024
440017,A0035,312,2/2/2025
220015,B0030,165,24/02/2025
550013,C0036,307,9/11/2024
550014,C0037,10,1/6/2024
660017,C0038,462,5/3/2024
440018,A0036,210,16/01/2025
330023,B0031,126,13/05/2024
660018,A0037,421,12/10/2024
550015,C0039,453,14/03/2024
110019,A0038,180,21/08/2024
440019,C0040,121,25/11/2024
660019,C0041,350,22/11/2024
110020,B0032,374,6/6/2024
330024,C0042,239,15/04/2024
550016,B0033,353,17/05/2024
220016,A0039,384,9/9/2024
220017,C0043,467,18/04/2024
550017,C0044,261,12/9/2024
550018,B0034,489,22/07/2024
550019,B0035,92,5/7/2024
440020,A0040,291,28/09/2024
220018,B0036,361,2/10/2024
660020,A0041,273,25/09/2024
110021,C0045,206,18/09/2024
110022,B0037,396,9/8/2024
220019,C0046,338,12/12/2024
550020,B0038,346,10/12/2024
220020,A0042,334,2/3/2024
110023,A0043,198,26/01/2025
550021,C0047,474,13/06/2024
440021,C0048,307,26/09/2024
110024,B0039,433,15/05/2024
550022,B0040,375,9/12/2024
110025,A0044,246,10/8/2024
110026,B0041,444,25/06/2024
660021,B0042,316,14/12/2024
330025,C0049,14,2/8/2024
550023,C0050,173,4/9/2024
660022,A0045,210,2/2/2025
220021,A0046,147,21/02/2025
110027,B0043,297,15/12/2024
110028,A0047,330,19/08/2024
110029,C0051,144,26/10/2024
330026,C0052,154,5/6/2024
330027,C0053,469,8/4/2024
440022,C0054,472,10/11/2024
220022,A0048,245,28/03/2024
330028,C0055,480,29/11/2024
550024,A0049,272,12/5/2024
330029,C0056,349,15/04/2024
220023,B0044,262,4/11/2024
330030,A0050,498,24/06/2024
550025,B0045,461,29/05/2024
110030,C0057,190,28/06/2024
550026,A0051,163,22/05/2024
440023,C0058,426,29/09/2024
110031,C0059,103,1/1/2025
440024,A0052,461,31/03/2024
660023,B0046,289,18/04/2024
220024,B0047,460,18/06/2024
330031,B0048,106,17/05/2024
110032,B0049,261,11/2/2025
440025,C0060,405,14/07/2024
110033,A0053,494,27/08/2024
440026,A0054,297,1/2/2025
110034,C0061,189,25/08/2024
440027,B0050,160,25/10/2024
330032,B0051,238,5/10/2024
220025,C0062,54,6/11/2024
550027,A0055,204,28/03/2024
440028,A0056,466,26/01/2025
110035,A0057,370,6/1/2025
330033,A0058,221,16/05/2024
440029,B0052,302,5/7/2024
660024,C0063,65,12/10/2024
660025,B0053,351,12/3/2024
440030,B0054,417,11/2/2025
220026,A0059,123,5/12/2024
440031,A0060,116,23/09/2024
550028,C0064,52,8/2/2025
440032,A0061,61,19/12/2024
330034,C0065,287,27/08/2024
550029,C0066,57,25/07/2024
440033,C0067,417,12/11/2024
110036,A0062,290,12/3/2024
330035,C0068,426,10/11/2024
110037,A0063,304,22/06/2024
440034,B0055,433,16/04/2024
220027,B0056,200,5/10/2024
220028,B0057,361,21/03/2024
220029,A0064,441,10/9/2024
220030,C0069,377,3/7/2024
220031,B0058,117,12/9/2024
550030,B0059,408,18/06/2024
440035,C0070,180,8/6/2024
220032,B0060,424,17/02/2025
660026,A0065,258,12/3/2024
550031,C0071,345,24/05/2024
330036,C0072,95,27/06/2024
220033,A0066,113,17/12/2024
330037,C0073,131,25/07/2024
440036,C0074,281,26/04/2024
110038,C0075,195,8/7/2024
660027,B0061,172,10/11/2024
660028,C0076,21,19/04/2024
330038,B0062,352,30/04/2024
220034,B0063,470,12/5/2024
330039,A0067,18,27/05/2024
660029,C0077,267,13/10/2024
220035,C0078,378,22/12/2024
550032,B0064,79,24/05/2024
660030,B0065,411,24/09/2024
660031,A0068,235,17/01/2025
440037,C0079,184,19/05/2024
220036,B0066,277,25/12/2024
110039,B0067,379,10/2/2025
110040,B0068,360,24/12/2024
220037,A0069,78,18/01/2025
110041,B0069,214,25/02/2025
660032,A0070,430,2/11/2024
550033,B0070,338,30/01/2025
440038,B0071,20,3/4/2024
660033,B0072,341,27/08/2024
