ID_Produk,ID_Cabang,Jumlah_Stock,Tanggal_Update
330001,A0001,342,2024-10-17
660001,C0001,108,2024-03-20
220001,A0002,421,2024-07-23
330002,A0003,331,2025-01-20
110001,A0004,367,2025-01-19
660002,C0002,260,2024-02-06
660003,A0005,425,2020-10-24
220002,C0003,64,2024-12-11
330003,A0006,191,2024-07-12
440001,B0001,319,2024-05-25
550001,B0002,101,2024-06-03
660004,B0003,386,2024-05-17
660005,A0007,339,2024-09-30
440002,A0008,253,2024-10-11
330004,A0009,398,2020-03-19
110002,B0004,11,2024-10-05
330005,A0010,54,2024-03-08
110003,A0011,389,2024-12-25
440003,A0012,100,2024-10-07
220003,B0005,212,2024-11-19
660006,C0004,341,2025-11-02
330006,B0006,128,2024-12-30
220004,B0007,488,2025-06-01
660007,A0013,313,2024-06-10
110004,A0014,26,2024-03-22
220005,A0015,261,2025-01-28
550002,B0008,359,2024-06-15
550003,A0016,217,2024-05-29
440004,B0009,235,2024-12-28
330007,A0017,250,2024-09-24
550004,B0010,24,2025-01-19
110005,B0011,484,2024-04-15
110006,B0012,242,2024-12-15
330008,A0018,161,2024-06-12
440005,C0005,386,2024-05-28
110007,C0006,104,2025-01-13
110008,A0019,110,2024-05-21
660008,A0020,310,2024-08-04
330009,C0007,44,2024-12-22
220006,B0013,367,2024-07-13
220007,B0014,378,2024-08-11
220008,C0008,411,2024-03-23
110009,B0015,266,2024-10-30
440006,C0009,390,2024-11-25
330010,C0010,340,2024-03-27
660009,B0016,208,2024-10-10
330011,B0017,120,2024-08-27
440007,B0018,365,2024-10-26
660010,B0019,30,2024-11-26
550005,C0011,273,2024-10-13
440008,C0012,235,2024-03-03
440009,A0021,380,2024-03-29
550006,B0020,426,2024-05-08
550007,C0013,263,2024-11-12
220009,B0021,412,2024-08-08
660011,C0014,314,2024-01-07
220010,A0022,280,2024-10-15
330012,A0023,391,2024-12-14
220011,A0024,18,2024-02-27
660012,C0015,51,2024-04-26
110010,C0016,427,2024-09-07
220012,C0017,497,2024-11-05
110011,B0022,247,2024-03-22
110012,A0025,35,2024-06-17
330013,B0023,363,2024-11-18
330014,A0026,72,2024-12-09
330015,C0018,91,2025-01-21
550008,B0024,312,2024-09-09
110013,A0027,156,2024-08-28
330016,A0028,270,2024-10-20
440010,C0019,21,2024-07-23
550009,C0020,223,2024-11-29
440011,B0025,450,2025-01-24
660013,C0021,256,2024-04-15
220013,A0029,316,2024-10-07
660014,C0022,415,2024-04-06
550010,C0023,138,2024-04-20
550011,A0030,229,2024-01-08
440012,C0024,88,2024-12-26
330017,C0025,250,2024-09-07
330018,C0026,40,2024-10-24
440013,B0026,415,2024-11-25
440014,C0027,495,2024-05-14
440015,C0028,459,2024-09-23
110014,C0029,44,2024-11-25
110015,C0030,106,2024-04-05
550012,C0031,419,2024-03-12
440016,A0031,296,2024-07-14
110016,A0032,149,2024-01-04
330019,B0027,71,2024-07-20
220014,C0032,138,2024-02-28
110017,C0033,221,2024-06-03
110018,A0033,209,2025-07-01
330020,B0028,172,2024-11-07
330021,C0034,292,2024-12-24
660015,A0034,313,2024-04-05
330022,B0029,142,2024-05-12
660016,C0035,248,2024-06-14
440017,A0035,312,2025-02-02
220015,B0030,165,2025-02-24
550013,C0036,307,2024-09-11
550014,C0037,10,2024-01-06
660017,C0038,462,2024-05-03
440018,A0036,210,2025-01-16
330023,B0031,126,2024-05-13
660018,A0037,421,2024-12-10
550015,C0039,453,2024-03-14
110019,A0038,180,2024-08-21
440019,C0040,121,2024-11-25
660019,C0041,350,2024-11-22
110020,B0032,374,2024-06-06
330024,C0042,239,2024-04-15
550016,B0033,353,2024-05-17
220016,A0039,384,2024-09-09
220017,C0043,467,2024-04-18
550017,C0044,261,2024-12-09
550018,B0034,489,2024-07-22
550019,B0035,92,2024-05-07
440020,A0040,291,2024-09-28
220018,B0036,361,2024-02-10
660020,A0041,273,2024-09-25
110021,C0045,206,2024-09-18
110022,B0037,396,2024-09-08
220019,C0046,338,2024-12-12
550020,B0038,346,2024-10-12
220020,A0042,334,2024-02-03
110023,A0043,198,2025-01-26
550021,C0047,474,2024-06-13
440021,C0048,307,2024-09-26
110024,B0039,433,2024-05-15
550022,B0040,375,2024-09-12
110025,A0044,246,2024-10-08
110026,B0041,444,2024-06-25
660021,B0042,316,2024-12-14
330025,C0049,14,2024-02-08
550023,C0050,173,2024-04-09
660022,A0045,210,2025-02-02
220021,A0046,147,2025-02-21
110027,B0043,297,2024-12-15
110028,A0047,330,2024-08-19
110029,C0051,144,2024-10-26
330026,C0052,154,2024-05-06
330027,C0053,469,2024-08-04
440022,C0054,472,2024-10-11
220022,A0048,245,2024-03-28
330028,C0055,480,2024-11-29
550024,A0049,272,2024-12-05
330029,C0056,349,2024-04-15
220023,B0044,262,2024-04-11
330030,A0050,498,2024-06-24
550025,B0045,461,2024-05-29
110030,C0057,190,2024-06-28
550026,A0051,163,2024-05-22
440023,C0058,426,2024-09-29
110031,C0059,103,2025-01-01
440024,A0052,461,2024-03-31
660023,B0046,289,2024-04-18
220024,B0047,460,2024-06-18
330031,B0048,106,2024-05-17
110032,B0049,261,2025-11-02
440025,C0060,405,2024-07-14
110033,A0053,494,2024-08-27
440026,A0054,297,2025-01-02
110034,C0061,189,2024-08-25
440027,B0050,160,2024-10-25
330032,B0051,238,2024-05-10
220025,C0062,54,2024-06-11
550027,A0055,204,2024-03-28
440028,A0056,466,2025-01-26
110035,A0057,370,2025-06-01
330033,A0058,221,2024-05-16
440029,B0052,302,2024-05-07
660024,C0063,65,2024-12-10
660025,B0053,351,2024-12-03
440030,B0054,417,2025-11-02
220026,A0059,123,2024-05-12
440031,A0060,116,2024-09-23
550028,C0064,52,2025-08-02
440032,A0061,61,2024-12-19
330034,C0065,287,2024-08-27
550029,C0066,57,2024-07-25
440033,C0067,417,2024-12-11
110036,A0062,290,2024-12-03
330035,C0068,426,2024-10-11
110037,A0063,304,2024-06-22
440034,B0055,433,2024-04-16
220027,B0056,200,2024-05-10
220028,B0057,361,2024-03-21
220029,A0064,441,2024-10-09
220030,C0069,377,2024-03-07
220031,B0058,117,2024-12-09
550030,B0059,408,2024-06-18
440035,C0070,180,2024-08-06
220032,B0060,424,2025-02-17
660026,A0065,258,2024-12-03
550031,C0071,345,2024-05-24
330036,C0072,95,2024-06-27
220033,A0066,113,2024-12-17
330037,C0073,131,2024-07-25
440036,C0074,281,2024-07-25
110038,C0075,195,2024-08-07
660027,B0061,172,2024-10-11
660028,C0076,21,2024-04-19
330038,B0062,352,2024-04-30
220034,B0063,470,2024-12-05
330039,A0067,18,2024-05-27
660029,C0077,267,2024-10-13
220035,C0078,378,2024-12-22
550032,B0064,79,2024-05-24
660030,B0065,411,2024-09-24
660031,A0068,235,2025-01-17
440037,C0079,184,2024-05-19
220036,B0066,277,2024-12-25
110039,B0067,379,2025-10-02
110040,B0068,360,2024-12-24
220037,A0069,78,2025-01-18
110041,B0069,214,2025-02-25
660032,A0070,430,2024-02-11
550033,B0070,338,2025-01-30
440038,B0071,20,2024-03-04
660033,B0072,341,2024-08-27
440039,B0073,498,2024-06-22
660034,C0080,278,2024-09-20
550034,C0081,332,2024-06-05
440040,A0071,227,2024-11-04
110042,C0082,159,2024-07-18
330040,B0074,344,2024-03-10
660035,C0083,356,2025-12-01
660036,B0075,311,2025-02-01
220038,A0072,196,2024-09-30
550035,B0076,470,2024-07-06
660037,B0077,27,2024-10-05
330041,B0078,360,2024-06-24
550036,B0079,145,2024-09-15
330042,A0073,465,2024-06-08
110043,A0074,334,2025-02-16
330043,C0084,315,2025-01-14
550037,C0085,119,2024-12-12
660038,B0080,377,2025-02-01
550038,A0075,89,2024-02-05
440041,A0076,357,2025-07-01
330044,A0077,436,2024-03-11
550039,C0086,214,2024-01-06
220039,A0078,339,2024-12-13
220040,B0081,16,2024-11-15
220041,A0079,35,2024-10-30
660039,B0082,343,2024-06-28
550040,A0080,497,2024-01-09
660040,A0081,489,2024-08-07
440042,B0083,452,2024-07-08
440043,B0084,26,2024-02-05
550041,C0087,365,2024-11-21
110044,C0088,278,2024-03-30
220042,A0082,53,2024-02-06
220043,A0083,74,2024-03-29
550042,B0085,169,2024-10-19
660041,A0084,29,2025-10-01
220044,A0085,466,2024-12-23
660042,A0086,292,2024-09-11
660043,C0089,412,2024-12-14
660044,A0087,242,2025-01-26
550043,C0090,406,2024-01-04
550044,B0086,336,2025-01-31
110045,A0088,179,2024-01-11
110046,B0087,26,2024-10-30
110047,A0089,40,2024-05-18
220045,C0091,410,2025-01-14
440044,B0088,451,2024-09-30
220046,A0090,359,2025-01-18
220047,A0091,210,2024-11-17
110048,B0089,363,2024-12-24
330045,C0092,162,2024-09-20
220048,A0092,339,2024-11-14
220049,A0093,495,2024-12-23
330046,B0090,440,2024-11-28
550045,B0091,402,2024-04-17
220050,C0093,50,2024-11-21
550046,C0094,254,2024-12-17
550047,C0095,135,2025-02-19
110049,A0094,168,2024-01-11
220051,A0095,442,2024-07-04
220052,C0096,100,2024-10-23
110050,A0096,234,2025-01-22
330047,A0097,463,2025-07-02
330048,A0098,123,2024-12-20
330049,B0092,149,2025-01-26
220053,C0097,304,2025-01-30
110051,C0098,329,2024-03-22
440045,B0093,437,2024-05-08
220054,A0099,15,2024-05-11
660045,B0094,466,2025-01-23
660046,C0099,361,2024-03-31
660047,A0100,456,2024-05-07
440046,A0101,379,2025-01-31
330050,B0095,382,2024-05-13
660048,C0100,219,2024-01-06
660049,C0101,300,2024-04-13
220055,A0102,298,2024-06-09
220056,A0103,327,2025-04-02
220057,C0102,17,2024-04-13
550048,C0103,201,2024-10-26
330051,B0096,160,2024-06-28
440047,C0104,33,2024-06-16
660050,A0104,105,2025-01-28
660051,B0097,248,2025-02-18
660052,A0105,69,2024-05-13
110052,A0106,448,2024-06-16
220058,A0107,56,2024-04-25
660053,A0108,163,2024-10-16
550049,A0109,335,2024-09-06
110053,B0098,274,2024-10-22
550050,C0105,346,2024-05-05
440048,A0110,99,2024-11-28
330052,A0111,460,2024-05-26
660054,C0106,138,2024-11-14
440049,C0107,132,2025-01-22
440050,C0108,66,2024-10-03
660055,C0109,29,2024-07-11
330053,C0110,445,2025-02-14
330054,C0111,197,2024-04-09
440051,C0112,82,2024-06-10
330055,C0113,432,2024-06-20
330056,A0112,330,2024-12-25
550051,A0113,322,2024-04-11
220059,A0114,368,2025-02-13
110054,B0099,159,2024-10-27
440052,A0115,39,2025-01-18
440053,C0114,88,2024-09-12
330057,B0100,310,2024-09-05
660056,A0116,209,2024-05-22
220060,B0101,415,2024-07-12
440054,A0117,230,2024-12-04
550052,A0118,159,2024-09-20
440055,A0119,483,2024-05-12
110055,C0115,49,2024-08-18
660057,A0120,331,2025-06-02
550053,A0121,265,2024-04-03
110056,B0102,410,2024-10-26
660058,C0116,345,2024-11-10
440056,B0103,410,2024-01-06
660059,B0104,279,2024-10-20
330058,B0105,238,2024-08-30
330059,B0106,14,2024-05-06
440057,C0117,386,2024-08-16
110057,A0122,168,2025-01-15
550054,A0123,251,2024-08-24
660060,A0124,300,2024-07-25
220061,C0118,307,2024-04-20
660061,A0125,308,2024-03-24
330060,B0107,33,2024-02-27
550055,C0119,84,2024-08-03
660062,A0126,366,2024-03-19
550056,B0108,313,2024-03-23
220062,B0109,371,2025-11-02
660063,C0120,440,2024-06-15
440058,B0110,148,2024-08-11
550057,C0121,207,2024-08-03
110058,C0122,494,2024-08-30
660064,B0111,460,2024-12-15
110059,B0112,321,2024-08-12
440059,A0127,204,2025-01-25
440060,C0123,402,2024-07-07
440061,C0124,262,2024-04-18
220063,A0128,228,2024-12-12
440062,C0125,176,2024-12-28
550058,C0126,479,2024-02-27
660065,C0127,335,2024-02-27
220064,A0129,421,2024-08-07
110060,C0128,229,2024-04-23
660066,A0130,229,2024-10-05
660067,B0113,454,2024-06-27
550059,B0114,111,2024-04-26
220065,C0129,311,2024-07-09
550060,C0130,462,2024-05-07
220066,A0131,412,2024-12-13
550061,A0132,44,2024-11-14
220067,B0115,158,2024-05-26
110061,C0131,473,2024-03-16
550062,C0132,108,2024-09-21
660068,B0116,256,2024-08-20
110062,A0133,213,2024-08-22
660069,C0133,262,2024-08-29
440063,B0117,34,2024-05-03
440064,C0134,282,2024-11-06
440065,A0134,461,2024-03-19
110063,B0118,56,2024-06-03
440066,C0135,453,2024-05-09
330061,A0135,446,2024-04-13
550063,C0136,36,2024-12-06
440067,B0119,427,2025-01-14
550064,C0137,133,2024-12-17
550065,B0120,433,2024-06-25
660070,A0136,385,2024-04-03
110064,A0137,395,2024-06-22
330062,A0138,139,2025-12-01
330063,A0139,280,2024-12-18
440068,A0140,390,2025-05-01
220068,B0121,105,2024-05-31
330064,B0122,23,2025-01-14
660071,B0123,103,2024-12-28
440069,C0138,80,2025-01-19
220069,C0139,386,2025-01-17
220070,C0140,47,2025-02-26
550066,B0124,441,2024-10-26
550067,C0141,78,2025-01-27
110065,A0141,232,2024-05-15
440070,A0142,274,2024-03-08
550068,B0125,400,2025-02-17
220071,A0143,187,2024-04-23
550069,C0142,243,2024-06-19
330065,B0126,351,2024-04-03
110066,B0127,103,2025-02-15
330066,A0144,430,2025-02-25
110067,A0145,493,2024-12-23
220072,A0146,175,2025-11-02
330067,B0128,53,2024-07-06
220073,C0143,232,2024-11-11
330068,C0144,459,2024-10-26
330069,B0129,301,2024-02-28
660072,A0147,361,2024-10-16
440071,C0145,487,2024-04-20
660073,C0146,101,2024-01-11
550070,C0147,216,2024-11-29
550071,B0130,25,2024-05-19
550072,C0148,420,2025-07-02
550073,B0131,59,2024-06-26
330070,A0148,435,2025-02-16
440072,B0132,143,2025-01-24
110068,B0133,154,2024-04-16
220074,A0149,357,2024-06-10
550074,B0134,420,2024-10-21
440073,C0149,275,2024-10-30
660074,A0150,411,2024-11-18
550075,B0135,371,2024-05-16
550076,B0136,270,2024-09-10
110069,C0150,366,2024-10-13
110070,C0151,266,2024-02-10
220075,A0151,337,2025-01-27
440074,C0152,207,2025-01-02
660075,C0153,141,2024-10-23
440075,C0154,72,2024-04-20
110071,B0137,41,2024-04-20
220076,A0152,33,2024-11-30
550077,C0155,259,2024-07-07
110072,A0153,280,2024-05-08
330071,B0138,30,2024-10-14
440076,C0156,186,2024-04-26
550078,C0157,178,2024-06-18
330072,B0139,36,2024-09-04
110073,B0140,310,2024-04-07
660076,B0141,250,2024-12-10
660077,B0142,118,2024-01-07
440077,A0154,334,2024-01-12
330073,A0155,396,2024-03-05
660078,A0156,435,2024-03-23
550079,B0143,283,2024-03-29
440078,B0144,440,2024-04-07
660079,B0145,204,2024-04-27
660080,C0158,415,2024-05-07
440079,C0159,450,2024-05-23
440080,C0160,378,2024-05-23
440081,B0146,207,2024-05-24
110074,C0161,390,2024-05-30
440082,C0162,362,2024-06-16
440083,A0157,278,2024-06-19
110075,C0163,448,2024-07-05
330074,C0164,182,2024-07-17
110076,B0147,196,2024-07-21
440084,C0165,78,2024-07-24
660081,C0166,499,2024-07-26
220077,C0167,224,2024-07-28
110077,A0158,266,2024-08-08
550080,A0159,152,2024-08-10
330075,B0148,269,2024-08-28
660082,A0160,448,2024-09-04
330076,A0161,122,2024-09-17
110078,A0162,416,2024-09-19
660083,C0168,318,2024-09-24
110079,B0149,493,2024-09-28
660084,A0163,402,2024-10-11
440085,C0169,263,2024-10-26
660085,C0170,293,2024-11-07
110080,A0164,24,2024-11-14
220078,B0150,337,2024-11-15
110081,C0171,215,2024-11-17
110082,B0151,34,2024-11-21
550081,B0152,468,2024-12-13
550082,A0165,142,2024-12-28
220079,C0172,234,2024-12-29
220080,B0153,309,2024-12-30
550083,B0154,404,2024-12-30
550084,A0166,186,2025-01-15
330077,B0155,127,2025-01-17
220081,C0173,468,2025-01-25
550085,B0156,437,2025-02-18
110083,B0157,418,2025-02-19
660086,C0174,261,2025-02-24
440086,C0175,486,2025-09-01
110084,B0158,134,2025-10-01
110085,A0167,88,2025-12-02
110086,B0159,261,2024-08-12
550086,C0176,118,2024-01-05
220082,C0177,13,2024-02-08
110087,B0160,405,2024-02-29
110088,B0161,317,2024-03-01
660087,A0168,223,2024-04-03
110089,B0162,274,2024-04-23
440087,B0163,286,2024-05-07
330078,B0164,308,2024-05-07
220083,C0178,203,2024-06-07
110090,B0165,306,2024-06-10
220084,A0169,115,2024-07-12
550087,A0170,231,2024-08-22
660088,A0171,388,2024-09-25
110091,C0179,62,2024-10-11
550088,C0180,246,2024-10-12
330079,B0166,391,2024-10-19
220085,C0181,127,2024-11-09
220086,A0172,406,2024-11-13
110092,C0182,273,2024-12-15
660089,B0167,278,2025-03-01
220087,C0183,367,2025-06-01
220088,A0173,94,2025-12-02
330080,C0184,239,2025-02-24
440088,A0174,372,2024-03-03
110093,A0175,482,2024-03-12
550089,B0168,455,2024-03-26
550090,B0169,262,2024-04-09
440089,B0170,399,2024-05-04
110094,A0176,282,2024-06-04
330081,A0177,47,2024-06-20
550091,A0178,361,2024-07-04
660090,B0171,165,2024-07-14
440090,C0185,140,2024-08-08
220089,A0179,494,2024-08-29
220090,C0186,202,2024-10-21
550092,B0172,481,2024-10-22
220091,A0180,152,2024-11-04
550093,A0181,286,2024-12-07
440091,C0187,72,2024-12-19
220092,A0182,131,2025-01-26
330082,C0188,483,2025-03-02
110095,B0173,403,2025-06-01
660091,C0189,384,2025-11-02
440092,B0174,206,2025-12-02
220093,B0175,465,2025-12-02
550094,A0183,339,2024-05-04
110096,A0184,447,2024-11-04
110097,B0176,23,2024-01-05
660092,A0185,124,2024-01-12
550095,B0177,27,2024-02-07
550096,B0178,375,2024-02-08
330083,B0179,122,2024-02-29
660093,C0190,16,2024-03-03
660094,A0186,38,2024-03-07
220094,B0180,500,2024-03-07
550097,B0181,104,2024-03-18
440093,C0191,141,2024-04-03
440094,A0187,23,2024-04-10
220095,A0188,154,2024-04-23
660095,B0182,124,2024-04-28
440095,C0192,97,2024-05-03
660096,B0183,142,2024-05-07
660097,A0189,326,2024-06-07
550098,B0184,190,2024-06-10
440096,A0190,66,2024-07-12
110098,C0193,317,2024-08-06
550099,A0191,373,2024-09-06
550100,B0185,233,2024-09-12
110099,C0194,476,2024-10-11
220096,B0186,212,2024-10-12
110100,B0187,475,2024-10-17
440097,A0192,108,2024-11-09
440098,B0188,434,2024-12-08
110101,A0193,72,2025-02-24
550101,B0189,482,2025-03-01
440099,B0190,425,2025-04-02
440100,C0195,450,2025-05-01
330084,A0194,299,2025-06-01
330085,B0191,258,2025-12-02
440101,C0196,318,2024-03-06
330086,A0195,348,2024-03-14
550102,C0197,485,2024-04-12
550103,B0192,250,2024-04-17
110102,B0193,116,2024-04-17
330087,A0196,258,2024-05-03
